name,province,district,beds (2024),funding,specialty
Bang Pla Ma Hospital,Suphan Buri,Bang Pla Ma,60,,
Bang Pla Ma Hospital,Suphanburi,,,Public,
Bang Rachan Hospital,Singburi,Bang Rachan,35,Public,
Bang Rakam Hospital,Phitsanulok,Bang Rakam,69,Public,
Bang Sai - Takua Pa Hospital,Phang Nga,Takua Pa,0,,
Bang Sai Hospital,Ayutthaya,,,Public,
Bang Sai Hospital,Ayutthaya,,,Public,
Bang Sai Hospital,Phang Nga,,,Public,
Bang Sai Hospital,Phra Nakhon Si Ayutthaya,Bang Sai (1404),39,,
Bang Sai Hospital,Phra Nakhon Si Ayutthaya,Bang Sai (1413),10,,
Bang Sao Thong Hospital,Samut Prakan,Bang Sao Thong,20,Public,
Bang Saphan Hospital,Prachuap Khiri Khan,Bang Saphan,156,Public,
Bang Saphan Noi Hospital,Prachuap Khiri Khan,Bang Saphan Noi,30,Public,
Bang Yai Hospital,Nonthaburi,Bang Yai,104,Public,
Bangkhunthian Health Center,Bangkok,,,Private,
Bangkok Adventist Hospital,Bangkok,,,Private,
Bangkok Cancer Center Hospital,Bangkok,,,Private,
Bangkok Christian Hospital,Bangkok,,,Private,
Bangkok Christian Hospital Nakhon Pathom,Nakhon Pathom,,,Private,
Bangkok Chureevetch Hospital,Roi Et,,,Private,
Bangkok Heart Hospital,Bangkok,,,Private,
Bangkok Hospital,Bangkok,,,Private,
Bangkok Hospital Chanthaburi,Chanthaburi,,,Private,
Bangkok Hospital Hat Yai,Songkhla,,,Private,
Bangkok Hospital Pakchong,Nakhon Ratchasima,,,Private,
Bangkok Hospital Phrapradaeng,Samut Prakan,,,Private,
Bangkok Hospital Phuket,Phuket,,,Private,
Bangkok Hospital Ratchasima,Nakhon Ratchasima,,,Private,
Bangkok Hospital Rayong,Rayong,,,Private,
Bangkok Hospital Samui,Surat Thani,,,Private,
Bangkok Hospital Trat,Trat,,,Private,
Bangkok Hospital?Pattaya,Chonburi,,,Private,
Bangkok International Hospital,Bangkok,,,Private,
Bangkok Metropolitan Administration General Hospital (Klang Hospital),Bangkok,,,Public,
Bangkok Metropolitan Administration Lat Krabang Hospital,Bangkok,,,Public,
Bangmod 3 Hospital,Bangkok,,,Private,
Bangmod Hospital,Bangkok,,,Private,
Bangna General Hospital,Bangkok,,,Private,
Bangna General Hospital 2,Samut Prakan,,,Private,
Bangna General Hospital 5,Samut Prakan,,,Private,
Bangpakok 1 Hospital,Bangkok,,,Private,
Bangpakok 2 Hospital,Bangkok,,,Private,
Bangpakok 3 Hospital,Samut Prakan,,,Private,
Bangpakok 8 Hospital,Bangkok,,,Private,
Bangpakok 9 International Hospital,Bangkok,,,Private,
Bangpo General Hospital,Bangkok,,,Private,
Bannang Sata Hospital,Yala,Bannang Sata,60,Public,
Banphaeo Hospital (Prommitr),Bangkok,,,Public,
Banphot Phisai Hospital,Nakhon Sawan,Banphot Phisai,90,Public,
Benchalak Chaloem Phrakiat Hospital,Sisaket,Benchalak,30,,
Benchalak Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday,Sisaket,,,Public,
Benjarom Hospital,Lopburi,,,Private,
Betong Hospital,Yala,Betong,170,Public,
Better Being Hospital,Bangkok,,,Private,
Bhumibol Adulyadej Hospital,Bangkok,,,Public,
Bhumirajanakarindra Kidney Institute Hospital,Bangkok,,,Private,
Bo Kluea Hospital,Nan,Bo Kluea,20,Public,
Bo Phloi Hospital,Kanchanaburi,Bo Phloi,60,Public,
Bo Rai Hospital,Trat,Bo Rai,37,Public,
Bo Thong Hospital,Chonburi,Bo Thong,70,Public,
Borabue Hospital,Maha Sarakham,Borabue,165,Public,
Bua Chet Hospital,Surin,Bua Chet,50,Public,
Bua Lai Hospital,Nakhon Ratchasima,Bua Lai,10,Public,
Bua Yai Hospital,Nakhon Ratchasima,Bua Yai,200,Public,
Bua Yai Ruam Phaet Hospital,Nakhon Ratchasima,,,Private,
Buddhachinaraj Phitsanulok Hospital,Phitsanulok,Mueang,952,Public,
Buddhasothorn Hospital,Chachoengsao,Mueang,652,Public,
Bueng Bun Hospital,Sisaket,Bueng Bun,30,Public,
Bueng Kan Hospital,Bueng Kan,Mueang,272,Public,
Bueng Khong Long Hospital,Bueng Kan,Bueng Khong Long,45,Public,
Bueng Na Rang Hospital,Phichit,Bueng Na Rang,24,Public,
Bueng Sam Phan Hospital,Phetchabun,Bueng Sam Phan,90,Public,
Bueng Samakkhi Hospital,Kamphaeng Phet,Bueng Samakkhi,30,Public,
Bumrungrad International Hospital,Bangkok,,,Private,
Bung Khla Hospital,Bueng Kan,Bung Khla,32,Public,
Buntharik Hospital,Ubon Ratchathani,Buntharik,61,Public,
Burachat Chaiyakorn Hospital,Bangkok,,,Public,
Burapha University Hospital,Chonburi,,,Public,
Buriram Hospital,Buriram,Mueang,927,Public,
Camillian Hospital,Bangkok,,,Private,
Central Chest Institute of Thailand,Nonthaburi,,,Public,Pulmonology
Central Chiangmai Memorial Hospital,Chiang Mai,,,Private,
Central Correctional Hospital,Bangkok,,,Public,
Central General Hospital,Bangkok,,,Private,
Central Park Hospital,Samut Prakan,,,Private,
Central Women's Correctional Institution Medical Centre,Bangkok,,,Public,
Cha-am Hospital,Phetchaburi,Cha-am,90,Public,
Cha-uat Hospital,Nakhon Si Thammarat,Cha-uat,90,Public,
Chae Hom Hospital,Lampang,Chae Hom,32,Public,
Chai Badan Hospital,Lopburi,Chai Badan,140,Public,
Chai Buri Hospital,Surat Thani,Chai Buri,30,Public,
Chai Nat Narenthorn Hospital,Chai Nat,Mueang,367,,
Chai Prakan Hospital,Chiang Mai,Chai Prakan,45,Public,
Chai Wan Hospital,Udon Thani,Chai Wan,30,Public,
Chai-Kasem Hospital,Udon Thani,,,Private,
Chaiaroon Vechagarn Hospital,Phichit,,,Private,
Chainat Narenthorn Hospital,Chainat,,,Public,
Chaiprakarn Hospital,Samut Prakan,,,Private,
Chaiya Hospital,Surat Thani,Chaiya,60,Public,
Chaiyaphum Hospital,Chaiyaphum,Mueang,793,Public,
Chaiyaphum Ram Hospital,Chaiyaphum,,,Private,
Chaiyaphum Ruamphart Hospital,Chaiyaphum,,,Private,
Chaiyo Hospital,Ang Thong,Chaiyo,52,Public,
Chakkarat Hospital,Nakhon Ratchasima,Chakkarat,90,Public,
Chaloem Phra Kiat Hospital,Nakhon Ratchasima,Chaloem Phra Kiat,36,Public,
Chaloem Phra Kiat Hospital,Nakhon Si Thammarat,Chaloem Phra Kiat,39,Public,
Chaloem Phrakiat Hospital,Buriram,Chaloem Phrakiat,38,Public,
Chaloem Phrakiat Hospital,Nan,Chaloem Phrakiat,34,Public,
Chalong Hospital,Phuket,Mueang,48,,
Chamni Hospital,Buriram,Chamni,40,Public,
Chana Hospital,Songkhla,Chana,64,Public,
Chanae Hospital,Narathiwat,Chanae,60,Public,
Chandrubeksa Hospital,Nakhon Pathom,,,Public,
Chang Phuak Hospital,Chiang Mai,,,Private,
Changhan Hospital,Roi Et,Changhan,35,Public,
Chanuman Hospital,Amnat Charoen,Chanuman,30,Public,
Chao Khun Phaibun Phanom Thuan Hospital,Kanchanaburi,Phanom Thuan,59,Public,
Chao Phraya Yommarat Hospital,Suphan Buri,Mueang,738,,
Chaophraya Abhaibhubejhr Hospital,Prachinburi,Mueang,504,Public,
Chaophraya Yommarat Hospital,Suphanburi,,,Public,
Chaophya Hospital,Bangkok,,,Private,
Charoen Sin Hospital,Sakon Nakhon,Charoen Sin,40,Public,
Charoenkrung Pracharak Hospital,Bangkok,,,Public,
Chat Trakan Hospital,Phitsanulok,Chat Trakan,30,Public,
Chatturat Hospital,Chaiyaphum,Chatturat,90,Public,
Chaturaphak Phiman Hospital,Roi Et,Chaturaphak Phiman,65,Public,
Chawang Crown Prince Hospital,Nakhon Si Thammarat,Chawang,143,Public,
Chet Samian Hospital,Ratchaburi,Photharam,30,Public,
Chian Yai Hospital,Nakhon Si Thammarat,Chian Yai,54,Public,
Chiang Dao Hospital,Chiang Mai,Chiang Dao,95,Public,
Chiang Kham Hospital,Phayao,Chiang Kham,231,Public,
Chiang Khan Hospital,Loei,Chiang Khan,59,Public,
Chiang Khong Crown Prince Hospital,Chiang Rai,Chiang Khong,72,Public,
Chiang Khwan Hospital,Roi Et,Chiang Khwan,0,Public,
Chiang Klang Hospital,Nan,Chiang Klang,28,Public,
Chiang Mai Municipality Hospital,Chiang Mai,,,Public,
Chiang Mai Neurological Hospital,Chiang Mai,,,Public,Neurology
Chiang Mai Ram Hospital 1,Chiang Mai,,,Private,
Chiang Muan Hospital,Phayao,Chiang Muan,36,Public,
Chiang Saen Hospital,Chiang Rai,Chiang Saen,58,Public,
Chiang Yuen Hospital,Maha Sarakham,Chiang Yuen,60,Public,
Chiangmai Klaimor Hospital,Chiang Mai,,,Private,
Chiangrai Prachanukroh Hospital,Chiang Rai,Mueang,798,Public,
Children Hospital and Medical Clinic,Chiang Mai,,,Private,
Chinkate Medical Center and Nursing Home,Bangkok,,,Private,
Chiva-Som Health Resort,Prachuap Khiri Khan,,,Private,
Cho Ai Rong Hospital,Narathiwat,Cho Ai Rong,30,Public,
Chok Chai Hospital,Nakhon Ratchasima,Chok Chai,91,Public,
Chollada Hospital,Nonthaburi,,,Private,
Chom Bueng Crown Prince Hospital,Ratchaburi,Chom Bueng,60,Public,
Chom Phra Hospital,Surin,Chom Phra,60,Public,
Chom Thong Hospital,Chiang Mai,Chom Thong,242,Public,
Chon Daen Hospital,Phetchabun,Chon Daen,60,Public,
Chonburi Cancer Center,Chonburi,,,Public,Oncology
Chonburi Hospital,Chonburi,Mueang,866,Public,
Chongkae Hospital,Nakhon Sawan,,,Private,
Chonlavej Hospital,Chonburi,,,Private,
Chonnabot Hospital,Khon Kaen,Chonnabot,35,Public,
Chuen Chom Hospital,Maha Sarakham,Chuen Chom,30,Public,
Chulabhorn Hospital,Bangkok,,,Public,Oncology
Chulabhorn Hospital,Nakhon Si Thammarat,Chulabhorn,32,Public,
Chulachomklao Royal Military Academy Hospital,Nakhon Nayok,,,Public,
Chularat 1 Hospital,Samut Prakan,,,Private,
Chularat 11 Hospital,Chachoengsao,,,Private,
Chularat 3 Hospital,Samut Prakan,,,Private,
Chularat 5 Hospital,Samut Prakan,,,Private,
Chularat 9 Hospital,Samut Prakan,,,Private,
Chulavej Hospital,Samut Prakan,,,Private,
Chum Phae Hospital,Khon Kaen,Chum Phae,360,Public,
Chum Phuang Hospital,Nakhon Ratchasima,Chum Phuang,70,Public,
Chum Saeng Hospital,Nakhon Sawan,Chum Saeng,60,Public,
Chum Ta Bong Hospital,Nakhon Ratchasima,,,Public,
Chum Ta Bong Hospital,Nakhon Sawan,Chum Ta Bong,5,,
Chumphon Buri Hospital,Surin,Chumphon Buri,60,Public,
Chumphon Khet Udomsak Hospital,Chumphon,Mueang,522,Public,
Chun Hospital,Phayao,Chun,52,Public,
Damnoen Saduak Hospital,Ratchaburi,Damnoen Saduak,272,Public,
Dan Chang Hospital,Suphan Buri,Dan Chang,111,,
Dan Chang Hospital,Suphanburi,,,Public,
Dan Khun Thot Hospital,Nakhon Ratchasima,Dan Khun Thot,120,Public,
Dan Makham Tia Hospital,Kanchanaburi,Dan Makham Tia,56,Public,
Dan Sai Crown Prince Hospital,Loei,Dan Sai,60,Public,
Dara Rasmi Hospital,Chiang Mai,,,Public,
Debaratana Nakhon Ratchasima Hospital,Nakhon Ratchasima,Mueang,276,,
Debaratana Vejjanukula Hospital,Chiang Mai,Mae Chaem,60,,
Decha Hospital,Bangkok,,,Private,
Den Chai Crown Prince Hospital,Phrae,Den Chai,38,Public,
"Dental Hospital, Chiang Mai University",Chiang Mai,,,Public,Dentistry
Det Udom Crown Prince Hospital,Ubon Ratchathani,Det Udom,363,Public,
Doctor Pradit Clinic,Ratchaburi,,,Private,
Doctor Sanguan Hospital,Ratchaburi,,,Private,
Doem Bang Nang Buat Hospital,Suphan Buri,Doem Bang Nang Buat,109,,
Doem Bang Nang Buat Hospital,Suphanburi,,,Public,
Doi Lo Hospital,Chiang Mai,Doi Lo,31,Public,
Doi Luang Hospital,Chiang Rai,Doi Luang,0,Public,
Doi Saket Hospital,Chiang Mai,Doi Saket,60,Public,
Doi Tao Hospital,Chiang Mai,Doi Tao,30,Public,
Dok Kham Tai Hospital,Phayao,Dok Kham Tai,60,Public,
Don Chan Hospital,Kalasin,Don Chan,14,Public,
Don Chedi Hospital,Suphan Buri,Don Chedi,60,,
Don Chedi Hospital,Suphanburi,,,Public,
Don Mot Daeng Hospital,Ubon Ratchathani,Don Mot Daeng,30,Public,
Don Phut Hospital,Saraburi,Don Phut,15,Public,
Don Sak Hospital,Surat Thani,Don Sak,30,Public,
Don Tan Hospital,Mukdahan,Don Tan,30,Public,
Don Tum Hospital,Nakhon Pathom,Don Tum,38,Public,
Dong Charoen Hospital,Phichit,Dong Charoen,22,Public,
Dong Luang Hospital,Mukdahan,Dong Luang,30,Public,
Dr. Hann Hospital,Yasothon,,,Private,
Dr. Lek Hospital,Chumphon,,,Private,
Dr. Panya General Hospital,Bangkok,,,Private,
Dr. Phairoj Hospital,Udon Thani,,,Private,
Dr. Surachet Hospital,Buriram,,,Private,
Ek Pathum Hospital,Pathum Thani,,,Private,
Ekachai Hospital,Samut Sakhon,,,Private,
Ekachon Buriram Hospital,Buriram,,,Private,
Ekkachon Mueang Kamphaeng Hospital,Kamphaeng Phet,,,Private,
Erawan Hospital,Loei,Erawan,32,Public,
Explosives Factory Division Medical Center,Ayutthaya,,,Public,
Eye Ear Nose Throat Hospital,Bangkok,,,Private,
Fak Tha Hospital,Uttaradit,Fak Tha,30,Public,
Fang Hospital,Chiang Mai,Fang,232,Public,
Fao Rai Hospital,Nong Khai,Fao Rai,30,Public,
Fort Adison Hospital,Saraburi,,,Public,
Fort Chakkraphong Hospital,Prachinburi,,,Public,
Fort Inkhayutthaborihan Hospital,Pattani,,,Public,
Fort Jiraprawat Hospital,Nakhon Sawan,,,Public,
Fort Kawila Hospital,Chiang Mai,,,Public,
Fort Khet Udomsak Hospital,Chumphon,,,Public,
Fort Khunchueangthammikkarat Hospital,Phayao,,,Public,
Fort Krit Srivara Hospital,Sakon Nakhon,,,Public,
Fort Mengraimaharat Hospital,Chiang Rai,,,Public,
Fort Nawamintharachini Hospital,Chonburi,,,Public,
Fort Phanurangsi Hospital,Ratchaburi,,,Public,
Fort Phichai Dabhak Hospital,Uttaradit,,,Public,
Fort Phokhunphamueang Hospital,Phetchabun,,,Public,
Fort Phrayotmueangkhwang Hospital,Nakhon Phanom,,,Public,
Fort Prachaksilapakhom Hospital,Udon Thani,,,Public,
Fort Ramratchaniwet Hospital,Phetchaburi,,,Public,
Fort Sapphasitthiprasong Hospital,Ubon Ratchathani,,,Public,
Fort Saritsena Hospital,Phitsanulok,,,Public,
Fort Senanarong Hospital,Songkhla,,,Public,
Fort Siphatcharin Hospital,Khon Kaen,,,Public,
Fort Somdet Phra Naresuan Maharat Hospital,Phitsanulok,,,Public,
Fort Somdet Phraphutthayotfa Chulalok Maharat Hospital,Roi Et,,,Public,
Fort Somdetchaophrayamahakasatsuek Hospital,Buriram,,,Public,
Fort Srisongrak Hospital,Loei,,,Public,
Fort Suranari Hospital,Nakhon Ratchasima,,,Public,
Fort Surasakmontri Hospital,Lampang,,,Public,
Fort Surasi Hospital,Kanchanaburi,,,Public,
Fort Surasinghanat Hospital,Sa Kaeo,,,Public,
Fort Suriyaphong Hospital,Nan,,,Public,
Fort Thanarat Hospital,Prachuap Khiri Khan,,,Public,
Fort Thepsatrisisunthon Hospital,Nakhon Si Thammarat,,,Public,
Fort Vajiravudh Hospital,Nakhon Si Thammarat,,,Public,
Fort Vibhavadi Rangsit Hospital,Surat Thani,,,Public,
Fort Wachiraprakan Hospital,Tak,,,Public,
Fort Weerawatyothin Hospital,Surin,,,Public,
Galaya Rajanakarindra Institute,Bangkok,,,Public,Psychiatry
Galyanivadhanakarun Hospital,Narathiwat,,,Public,
Golden Jubilee Medical Center,Nakhon Pathom,,,Public,
Golden Years Hospital,Bangkok,,,Private,
HRH Princess Maha Chakri Sirindhorn Medical Center,Nakhon Nayok,,,Public,
HRH Princess Sirindhorn Memorial Hospital Rayong (Map Taphut),Rayong,Mueang,176,,
HRH Princess Sirindhorn Rayong (Map Taphut) Hospital,Rayong,,,Public,
HRH The Princess Mother Centenary Hospital Mueang Yang,Nakhon Ratchasima,Mueang Yang,30,,
Han Kha Hospital,Chai Nat,Han Kha,30,,
Han Kha Hospital,Chainat,,,Public,
Hang Chat Hospital,Lampang,Hang Chat,30,Public,
Hang Dong Hospital,Chiang Mai,Hang Dong,90,Public,
Hann International Hospital,Yasothon,,,Private,
Hariphunchai Memorial Hospital,Lamphun,,,Private,
Hat Samran Chaloem Phrakiat Hospital,Trang,Hat Samran,37,,
Hat Samran Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday,Trang,,,Public,
Hatyai Hospital,Songkhla,Hat Yai,797,Public,
"Health Promotion Hospital, 10th Regional Health Promotion Center",Chiang Mai,,,Public,
"Health Promotion Hospital, 11th Regional Health Promotion Center",Nakhon Si Thammarat,,,Public,
"Health Promotion Hospital, 12th Regional Health Promotion Center",Yala,,,Public,
"Health Promotion Hospital, 1st Regional Health Promotion Center",Bangkok,,,Public,
"Health Promotion Hospital, 2nd Regional Health Promotion Center",Saraburi,,,Public,
"Health Promotion Hospital, 3rd Regional Health Promotion Center",Chonburi,,,Public,
"Health Promotion Hospital, 4th Regional Health Promotion Center",Ratchaburi,,,Public,
"Health Promotion Hospital, 5th Regional Health Promotion Center",Nakhon Ratchasima,,,Public,
"Health Promotion Hospital, 5th Regional Health Promotion Center",Nakhon Ratchasima,,,Public,
"Health Promotion Hospital, 6th Regional Health Promotion Center",Khon Kaen,,,Public,
"Health Promotion Hospital, 7th Regional Health Promotion Center",Ubon Ratchathani,,,Public,
"Health Promotion Hospital, 8th Regional Health Promotion Center",Nakhon Sawan,,,Public,
Her Majesty the Queen's Hospital Na Thawi,Songkhla,Na Thawi,150,Public,
Hospital for Tropical Diseases,Bangkok,,,Public,Tropical diseases
"Hospital of the Faculty of Dentistry, Chulalongkorn University",Bangkok,,,Public,Dentistry
Hot Hospital,Chiang Mai,Hot,79,Public,
Hua Chiew Hospital,Bangkok,,,Private,
Hua Hin Chalerm Prakiet Red Cross Health Station,Prachuap Khiri Khan,,,Public,
Hua Hin Hospital,Prachuap Khiri Khan,Hua Hin,395,Public,
Hua Sai Hospital,Nakhon Si Thammarat,Hua Sai,60,Public,
Hua Taphan Hospital,Amnat Charoen,Hua Taphan,60,Public,
Huai Khot Hospital,Uthai Thani,Huai Khot,30,Public,
Huai Koeng Hospital,Udon Thani,Huai Koeng,8,Public,
Huai Krachao Chaloem Phrakiat Hospital,Kanchanaburi,Huai Krachao,30,,
Huai Krachao Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday,Kanchanaburi,,,Public,
Huai Mek Hospital,Kalasin,Huai Mek,58,Public,
Huai Phlu Hospital,Nakhon Pathom,Nakhon Chai Si,60,Public,
Huai Phueng Hospital,Kalasin,Huai Phueng,34,Public,
Huai Rat Hospital,Buriram,Huai Rat,44,Public,
Huai Thalaeng Hospital,Nakhon Ratchasima,Huai Thalaeng,60,Public,
Huai Thap Than Hospital,Sisaket,Huai Thap Than,30,Public,
Huai Yot Hospital,Trang,Huai Yot,100,Public,
Huai Yot Hospital,Trang,Huai Yot,100,Private,
Imperial Hospital,Prachinburi,,,Private,
In Buri Hospital,Sing Buri,In Buri,150,,
In Buri Hospital,Singburi,,,Public,
Institute of Dermatology,Bangkok,,,Public,Dermatology
Inter Vechakarn Hospital,Phitsanulok,,,Private,
Jesada Vechakarn Hospital,Samut Sakhon,,,Private,
Jetanin Institute for Assisted Reproduction,Bangkok,,,Private,
Kabang Hospital,Yala,Kabang,30,Public,
Kabin Buri Hospital,Prachinburi,Kabin Buri,256,Public,
Kae Dam Hospital,Maha Sarakham,Kae Dam,30,Public,
Kaeng Hang Maeo Hospital,Chanthaburi,Kaeng Hang Maeo,34,Public,
Kaeng Khoi Hospital,Saraburi,Kaeng Khoi,68,Public,
Kaeng Khro Hospital,Chaiyaphum,Kaeng Khro,120,Public,
Kaeng Krachan Hospital,Phetchaburi,Kaeng Krachan,66,Public,
Kaeng Sanam Nang Hospital,Nakhon Ratchasima,Kaeng Sanam Nang,35,Public,
Kalasin Hospital,Kalasin,Mueang,570,Public,
Kamalasai Hospital,Kalasin,Kamalasai,143,Public,
Kamol Cosmetic Hospital,Bangkok,,,Private,Cosmetic
Kamphaeng Phet Hospital,Kamphaeng Phet,Mueang,492,Public,
Kamphaeng Saen Hospital,Nakhon Pathom,Kamphaeng Saen,120,Public,
Kanchanaburi Memorial Hospital,Kanchanaburi,,,Private,
Kanchanadit Hospital,Surat Thani,Kanchanadit,120,Public,
Kantang Hospital,Trang,Kantang,95,Public,
Kantharalak Hospital,Sisaket,Kantharalak,283,Public,
Kanthararom Hospital,Sisaket,Kanthararom,120,Public,
Kantharawichai Hospital,Maha Sarakham,Kantharawichai,60,Public,
Kao Liao Hospital,Nakhon Sawan,Kao Liao,34,Public,
Kap Choeng Hospital,Surin,Kap Choeng,97,Public,
Kapho Hospital,Pattani,Kapho,37,Public,
Kapoe Hospital,Ranong,Kapoe,35,Public,
Kapong Chaiphat Hospital,Phang Nga,Kapong,32,Public,
Karunapitak Hospital,Bangkok,,,Private,
Kasemrad Hospital Bangkae,Bangkok,,,Private,
Kasemrad Hospital Prachachuen,Bangkok,,,Private,
Kasemrad Hospital Rattanathibeth,Nonthaburi,,,Private,
Kasemrad Hospital Saraburi,Saraburi,,,Private,
Kasemrad Hospital Sriburin,Chiang Rai,,,Private,
Kasemrad Hospital Sukhapibal 3,Bangkok,,,Private,
Kaset Sombun Hospital,Chaiyaphum,Kaset Sombun,67,Public,
Kaset Wisai Hospital,Roi Et,Kaset Wisai,165,Public,
Khaen Dong Hospital,Buriram,Khaen Dong,31,Public,
Khai Bang Rachan Hospital,Singburi,Khai Bang Rachan,30,Public,
Kham Khuean Kaeo Hospital,Yasothon,Kham Khuean Kaeo,60,Public,
Kham Muang Hospital,Kalasin,Kham Muang,81,Public,
